Atoll/City Code,Administrative Division,Inhabited Island,Note
Lh,Lhaviyani (Faadhippolhu),Naifaru,capital
Lh,Lhaviyani (Faadhippolhu),Olhuvelifushi,
K,Kaafu (Malé Atoll admin division),Dhiffushi,
K,Kaafu (Malé Atoll admin division),Gaafaru,
K,Kaafu (Malé Atoll admin division),Gulhi,
K,Kaafu (Malé Atoll admin division),Guraidhoo,
K,Kaafu (Malé Atoll admin division),Himmafushi,
K,Kaafu (Malé Atoll admin division),Huraa,
K,Kaafu (Malé Atoll admin division),Kaashidhoo,
K,Kaafu (Malé Atoll admin division),Maafushi,
K,Kaafu (Malé Atoll admin division),Thulusdhoo,capital
—,Malé City (separate admin),Hulhumalé,
—,Malé City (separate admin),Malé,capital (city)
—,Malé City (separate admin),Vilimalé,
AA,Alif Alif (North Ari),Bodufolhudhoo,
AA,Alif Alif (North Ari),Feridhoo,
AA,Alif Alif (North Ari),Himandhoo,
AA,Alif Alif (North Ari),Maalhos,
AA,Alif Alif (North Ari),Mathiveri,
AA,Alif Alif (North Ari),Rasdhoo,capital
AA,Alif Alif (North Ari),Thoddoo,
AA,Alif Alif (North Ari),Ukulhas,
ADh,Alif Dhaal (South Ari),Dhangethi,
ADh,Alif Dhaal (South Ari),Dhiddhoo,
ADh,Alif Dhaal (South Ari),Dhigurah,
ADh,Alif Dhaal (South Ari),Fenfushi,
ADh,Alif Dhaal (South Ari),Haggnaameedhoo,
ADh,Alif Dhaal (South Ari),Kunburudhoo,
ADh,Alif Dhaal (South Ari),Maamigili,
ADh,Alif Dhaal (South Ari),Mahibadhoo,capital
ADh,Alif Dhaal (South Ari),Mandhoo,
ADh,Alif Dhaal (South Ari),Omadhoo,
V,Vaavu (Felidhu),Felidhoo,capital
V,Vaavu (Felidhu),Fulidhoo,
V,Vaavu (Felidhu),Keyodhoo,
V,Vaavu (Felidhu),Rakeedhoo,
V,Vaavu (Felidhu),Thinadhoo,
M,Meemu (Mulaku),Dhiggaru,
M,Meemu (Mulaku),Kolhufushi,
M,Meemu (Mulaku),Maduvvaree,
M,Meemu (Mulaku),Mulah,
M,Meemu (Mulaku),Muli,capital
M,Meemu (Mulaku),Naalaafushi,
M,Meemu (Mulaku),Raimmandhoo,
M,Meemu (Mulaku),Veyvah,
F,Faafu (North Nilandhe),Bileddhoo,
F,Faafu (North Nilandhe),Dharanboodhoo,
F,Faafu (North Nilandhe),Feeali,
F,Faafu (North Nilandhe),Magoodhoo,
F,Faafu (North Nilandhe),Nilandhoo,capital
Dh,Dhaalu (South Nilandhe),Bandidhoo,
Dh,Dhaalu (South Nilandhe),Hulhudheli,
Dh,Dhaalu (South Nilandhe),Kudahuvadhoo,capital
Dh,Dhaalu (South Nilandhe),Maaenboodhoo,
Dh,Dhaalu (South Nilandhe),Meedhoo,
Dh,Dhaalu (South Nilandhe),Rinbudhoo,
Dh,Dhaalu (South Nilandhe),Vaanee,
Th,Thaa (Kolhumadulu),Burunee,
Th,Thaa (Kolhumadulu),Dhiyamingili,
Th,Thaa (Kolhumadulu),Gaadhiffushi,
Th,Thaa (Kolhumadulu),Guraidhoo,
Th,Thaa (Kolhumadulu),Hirilandhoo,
Th,Thaa (Kolhumadulu),Kandoodhoo,
Th,Thaa (Kolhumadulu),Kinbidhoo,
Th,Thaa (Kolhumadulu),Madifushi,
Th,Thaa (Kolhumadulu),Omadhoo,
Th,Thaa (Kolhumadulu),Thimarafushi,
Th,Thaa (Kolhumadulu),Vandhoo,
Th,Thaa (Kolhumadulu),Veymandoo,capital
Th,Thaa (Kolhumadulu),Vilufushi,
L,Laamu (Hadhdhunmathi),Dhanbidhoo,
L,Laamu (Hadhdhunmathi),Fonadhoo,capital
L,Laamu (Hadhdhunmathi),Gan,
L,Laamu (Hadhdhunmathi),Hithadhoo,
L,Laamu (Hadhdhunmathi),Isdhoo,
L,Laamu (Hadhdhunmathi),Kunahandhoo,
L,Laamu (Hadhdhunmathi),Maabaidhoo,
L,Laamu (Hadhdhunmathi),Maamendhoo,
L,Laamu (Hadhdhunmathi),Maavah,
L,Laamu (Hadhdhunmathi),Mundoo,
GA,Gaafu Alif (North Huvadhu),Dhaandhoo,
GA,Gaafu Alif (North Huvadhu),Dhevvadhoo,
GA,Gaafu Alif (North Huvadhu),Gemanafushi,
GA,Gaafu Alif (North Huvadhu),Kanduhulhudhoo,
GA,Gaafu Alif (North Huvadhu),Kolamaafushi,
GA,Gaafu Alif (North Huvadhu),Kondey,
GA,Gaafu Alif (North Huvadhu),Maamendhoo,
GA,Gaafu Alif (North Huvadhu),Nilandhoo,
GA,Gaafu Alif (North Huvadhu),Villingili,capital
GDh,Gaafu Dhaalu (South Huvadhu),Fares-Maathodaa,capital
GDh,Gaafu Dhaalu (South Huvadhu),Fiyoaree,
GDh,Gaafu Dhaalu (South Huvadhu),Gadhdhoo,
GDh,Gaafu Dhaalu (South Huvadhu),Hoandeddhoo,
GDh,Gaafu Dhaalu (South Huvadhu),Madaveli,
GDh,Gaafu Dhaalu (South Huvadhu),Nadellaa,
GDh,Gaafu Dhaalu (South Huvadhu),Rathafandhoo,
GDh,Gaafu Dhaalu (South Huvadhu),Thinadhoo,
GDh,Gaafu Dhaalu (South Huvadhu),Vaadhoo,
Gn,Gnaviyani (Fuvahmulah City),Fuvahmulah,capital (city)
S,Seenu (Addu City),Feydhoo,
S,Seenu (Addu City),Hithadhoo,capital (city)
S,Seenu (Addu City),Hulhudhoo,
S,Seenu (Addu City),Maradhoo,
S,Seenu (Addu City),Maradhoo-Feydhoo,
S,Seenu (Addu City),Meedhoo,
